Suburb,Site_title,Site_streetaddress,Site_state,Site_postcode,Exposure_date_dtm,Exposure_date,Exposure_time,Notes,Added_date_dtm,Added_date,Added_time,Advice_title,Advice_instruction,Exposure_time_start_24,Exposure_time_end_24
South Melbourne,The Palace Hotel,505-507 City Road,VIC,3205,2021-05-21,21/05/2021,5:45pm - 6:45pm,Case attended venue,2021-05-26,26/05/2021,6:53 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,17:45:00,18:45:00
Coburg,Ritchies IGA Pentridge,1 Champ Street,VIC,3058,2021-05-24,24/05/2021,6:45pm - 7:25pm,Case attended venue,2021-05-26,26/05/2021,6:53 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",18:45:00,19:25:00
Port Melbourne,"The Local, Port Melbourne",22-24 Bay Street,VIC,3207,2021-05-21,21/05/2021,1:30pm - 3:30pm,Case dined inside venue,2021-05-26,26/05/2021,7:48 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,13:30:00,15:30:00
Fairfield,7-Eleven Fairfield East,324 Station street,VIC,3078,2021-05-23,23/05/2021,7:45pm - 8:00pm,Case attended venue,2021-05-26,26/05/2021,7:56 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",19:45:00,20:00:00
Coburg,IGA Coburg,12-20 Nicholson Street,VIC,3058,2021-05-22,22/05/2021,2:30pm - 2:50pm,Case attended venue,2021-05-26,26/05/2021,9:50 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",14:30:00,14:50:00
Red Hill,Nordie Cafe,1008 Mornington-Flinders Road,VIC,3937,2021-05-22,22/05/2021,9:09am - 9:34am,Case attended venue,2021-05-26,26/05/2021,9:55 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,09:09:00,09:34:00
Carnegie,Bicycle Superstore,1030 Dandenong Road,VIC,3163,2021-05-23,23/05/2021,3:33pm - 4:00pm,Case attended venue,2021-05-26,26/05/2021,9:55 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,15:33:00,16:00:00
Parkville,Melbourne Swordcraft,"Ransford Oval, Park Street",VIC,3052,2021-05-21,21/05/2021,5:45pm - 10:30pm,Case attended venue,2021-05-26,26/05/2021,10:18 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,17:45:00,22:30:00
Mordialloc,The Sporting Globe Mordialloc,590 Main Street,VIC,3195,2021-05-23,23/05/2021,6:17pm - 9:43pm,Case attended venue,2021-05-26,26/05/2021,10:24 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,18:17:00,21:43:00
Burwood East,Burwood Teppanyaki House,145 Burwood Highway,VIC,3151,2021-05-22,22/05/2021,7:30pm - 9:40pm,Case attended venue,2021-05-26,26/05/2021,10:24 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,19:30:00,21:40:00
Bayswater North,Mcdonalds Bayswater North,296 Canterbury Road,VIC,3153,2021-05-21,21/05/2021,11:00pm - 12:00am,Case dined in restaurant ,2021-05-26,26/05/2021,10:31 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,23:00:00,00:00:00
